|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43264||||||||||||This weeks report includes swap numbers 618-654

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|7584.9749|6312.723|-16.773317206362808|51.2475|1764.4426099967955|3342.9827991546817|145.2497|117.28569999999999|-19.252363343951828||7781.472100000001|8191.139309996795|5.264649217167976|20051.332000000006|289.1348999999973|1.4419735307359989|46.445458397994514|40.85084876155257||||16754
|  Haddock|9695.485000000002|7805.796|-19.490401975765025|27.249399999999998|1418.8123900469543|5106.765617029933|100.5127|34.3442|-65.83098454225187||9823.247100000002|9258.952590046954|-5.7444804575164135|30870.344999999998|375.9230000000007|1.2177479713945558|22.092585237495506|29.993032439536893||||44464
|  Whiting|4034.4489|4457.324|10.48160753752513|192.16609999999997|851.6509000061035|343.18477609011353|62.9223|37.024699999999996|-41.15806319857984||4289.5373|5345.999600006103|24.628817192150372|15074.323999999999|109.05509999828155|0.723449356656269|45.281719624195084|35.4642742189043||||9473
|  Saithe|2934.5460999999996|3219.6070000000004|9.713969052999403|0.2186|696.5784499992371|318554.3687096236|772.1815000000001|1104.5194999999999|43.03884514197759||3706.9462|5020.704949999237|35.44045904953348|12635.573000000004|189.0681000000004|1.4963159961166808|42.55965786452354|39.73468357944064||||8710
|  Plaice|665.9898000000001|433.433|-34.91897323352401|86.70450000000001|127.17073999209404|46.67144149622457|5342.543200000001|2912.3437999999996|-45.48768833539803||6095.237500000001|3472.947539992094|-43.02194885774192|31447.865|274.80629999999974|0.8738472389143102|22.122668045876893|11.043508168176421||||27552
|  Sole|0.009899999999999999|0.024|142.42424242424246|64.1623|27.1795|-57.6394549447261|190.01069999999999|156.15699999999998|-17.81673347869357||254.1829|183.36049999999997|-27.86277125644566|777.983|2.8659000000000106|0.3683756585940838|32.462694763729246|23.56870265802723||||783
|  Hake|1054.1105000000002|769.775|-26.97397473983991|0.6622999999999999|261.5895|39397.131209421714|22.7855|31.449900000000003|38.025937548002034||1077.5583000000001|1062.8144|-1.3682693548924607|2513.784|79.54330000000004|3.1642853960403934|20.26628361858191|42.27946394757863||||5317
|  Nephrops|2828.2194000000004|1728.681|-38.87740816713159|1092.5954|643.5812999999999|-41.09610016663076|9.3523|32.0485|242.68041016648309||3930.1671|2404.3107999999997|-38.82420928107612|21921.312999999995|84.4697000000001|0.38533138959331553|36.38706693824646|10.96791419382589||||10801
|  Norway others|1000.0073|513.059|-48.69447453033593|0|307.673|-|164.34019999999998|1.4205999999999999|-99.13557364540142||1164.3474999999999|822.1526|-29.389413383890968|3509.999999999999|147.8549999999999|4.212393162393161|39.68464553510565|23.423150997151005||||2934
|  Monkfish|4309.2405|4601.9310000000005|6.7921597785039065|29.938799999999997|333.0673500089645|1012.4939877649222|98.786|131.5026|33.11866053894276||4437.9653|5066.5009500089645|14.162698613460648|13113.999999999998|510.98489999847516|3.8964839103132163|45.29460400081649|38.63429121556325||||9798
|  Megrim|540.1214000000001|716.375|32.63221934920554|0.0854|29.4949|34437.353629976584|4|5.2992|32.48||544.2068000000002|751.1691000000001|38.03008341681873|2659.3689999999992|57.065700000000106|2.145836098713647|19.95624495782912|28.246140343818414||||2727
|  Lem Sole & Witches|561.3208000000001|766.5110000000002|36.55488982414336|19.907999999999998|45.903970006179804|130.58052042485338|91.6915|84.6889|-7.63713103177503||672.9203000000001|897.10387000618|33.31502556932521|3769.0000000000005|53.31185000000028|1.41448262138499|18.934167135621838|23.80217219437994||||3554
|  Skates & Rays|162.40859999999998|156.88999999999996|-3.397972767451983|158.1791|163.95510000000002|3.651557000893298|16.442999999999998|11.4754|-30.211032050112497||337.03069999999997|332.3205|-1.3975581452965522|1018.9999999999998|19.3082|1.8948184494602556|46.74489597780859|32.612414131501474||||721
|  Dabs & Flounders|0|4.224|-|0|0|-|0|51.416|-||0|55.64|-|0|3.3839999999999932|-|0|-||||1558
|  Turbot & Brill|21.3341|14.164000000000001|-33.60863593964591|23.9056|10.19909999847412|-57.33593802927297|174.66199999999995|112.18969999999999|-35.76753959075241||219.90169999999995|136.55279999847411|-37.902799296924876|902.1999999999992|5.580520000052445|0.6185457769953945|42.12676245210727|15.135535357844626||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0222|-|0|0|-||0|0.0222|-|427.44600000000014|0|0|0|0.005193638494687047||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|18.5279|17.134999999999998|-7.517851456452167|0|0|-|0|0|-||18.5279|17.134999999999998|-7.517851456452167|45|2.5859999999999985|5.7466666666666635|41.17311111111111|38.07777777777777||||45
| Cod VIa,Vb (EC)|118.2877|90.18999999999998|-23.753695439170784|0.7024|14.933500000000002|2026.0677676537587|0.4006|0.8276|106.59011482775836||119.3907|105.95109999999998|-11.2568231863956|0|2.570999999999998|-|-|-||||0
| Haddock VIb, XII, XIV  |2312.0405|1982.3100000000002|-14.261450004876638|0|0|-|0|0|-||2312.0405|1982.3100000000002|-14.261450004876638|4244.960000000001|114.10600000000022|2.688034751799786|90.27881686841079|46.69796652971994||||2561
| Haddock VIa,Vb (EC)|1105.7261999999998|1263.8660000000002|14.301894989917068|14.332399999999996|35.87180000610351|150.2846697420078|0.18030000000000002|1.4343|695.5074875207986||1120.2388999999998|1301.1721000061036|16.15130486953308|3958.8689999999997|73.37110000610338|1.8533348793835658|22.064977348828045|32.86726840433729||||5077
|  Whiting|68.03030000000001|60.066|-11.70698938561201|0.17579999999999998|4.0172|2185.0967007963595|0.35890000000000005|0.098|-72.69434382836444||68.56500000000001|64.1812|-6.393641070517038|122|4.7841999999999985|3.9214754098360642|56.20081967213115|52.60754098360656||||122
|  Saithe|1720.7832999999998|1527.0620000000004|-11.257739425992773|0.0686|260.223|379233.81924198254|16.514499999999998|53.2042|222.16658088346608||1737.3663999999999|1840.4892000000002|5.935581579107339|3685.8979999999997|5.246000000000322|0.14232623908747127|61.19642127509686|49.93326456673517||||2839
|  Plaice|18.584799999999998|18.832|1.3301192372261363|0.1731|1.0046000000000002|480.35817446562686|0.0494|0.113|128.74493927125508||18.807299999999998|19.9496|6.073705422894315|430.67999999999995|1.8419999999999987|0.4276957369740872|4.847242268041237|4.632116652735211||||388
|  Sole|0.3587|0.205|-42.84917758572624|0.0327|0.0527|61.16207951070336|0.1415|0|-100||0.5329|0.2577|-51.64195909176207|12.209999999999997|0.02099999999999999|0.17199017199017197|4.844545454545455|2.110565110565111||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|1527.9312000000002|1451.7619999999997|-4.985119748847362|339.1062999999999|24.809299999999997|-92.68391651821271|13.540099999999999|323.75050000000005|2291.0495491170673||1880.5776|1800.3217999999997|-4.26761437549827|3018.9999999999995|36.32669999999962|1.2032692944683545|67.04376470588235|59.63305067903279||||2805
|  Nephrops|4849.1099|2553.5170000000007|-47.340500573105174|502.79310000000004|97.5356|-80.60124532337457|0.175|0.7421|324.0571428571428||5352.078|2651.794700000001|-50.452988540152056|13589.462000000001|219.37530000000106|1.6143045250798085|30.34745974143797|19.51361061975817||||17636
|  Megrim|426.30000000000007|462.04600000000005|8.385174759558991|0.3157|9.3926|2875.166297117517|1.3209000000000002|7.6729|480.8842455901279||427.93660000000006|479.1115000000001|11.958523762632135|1899.9250000000002|14.400999999999954|0.7579772885771782|24.149920993227994|25.217390160137903||||1772
|  Pollack|10.135|17.73|74.93833251110016|0.7565999999999998|1.8912000000000002|149.96034892942117|0.0082|0|-100||10.8998|19.6212|80.0143121892145|145|1.1310000000000002|0.7800000000000001|7.517103448275862|13.53186206896552||||145
|Greenland Halibut II,IV,VI|53.7469|5.367|-90.01430780193836|0|0|-|0|0|-||53.7469|5.367|-90.01430780193836|1071.439|0|0|5.518162217659137|0.5009151244261222||||974
|  Spurdog (zero TAC)|-|0|-|-|8.164100000000001|-|-|0.0419|-||-|8.206000000000001|-|0|0|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43264||||||||||||This weeks report includes swap numbers 618-654

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0.7991|0.9239999999999999|15.630083844324853|0|0.0112|-|0.2028|0|-100||1.0019|0.9351999999999999|-6.657351033037238|3.999999999999999|0.121|3.025000000000001|25.0475|23.380000000000003||||4
|Monkfish|36.1912|33.476|-7.502376268264116|0|7.0285|-|0|0.5704|-||36.1912|41.0749|13.494164327239764|248.49999999999997|2.7510000000000048|1.1070422535211288|20.10622222222222|16.529134808853122||||180
|Ling |53.17360000000001|42.510000000000005|-20.054312666435976|0|29.0717|-|9.669599999999999|0.038|-99.60701580210143||62.84320000000001|71.61970000000001|13.965711485093053|143.00000000000006|3.7560000000000002|2.6265734265734255|43.64111111111112|50.08370629370628||||144
|Nephrops|0|0|-|0|0|-|0.0024|0|-100||0.0024|0|-100|42|0|0|0.004528301886792452|0||||53
