|Whitefish Statistics: total landings (tonnes live weight) in 2018
|43145||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016
|North sea
|  Cod|0|1361.9569999999997|-|0|374.9925700052261|-|0|23.729300000000002|-||0|1760.6788700052257|-|16808|375.96996000556874|2.2368512613372724|0|10.47524315805108||||16754
|  Haddock|0|2355.292|-|0|402.2335799891233|-|0|8.7202|-||0|2766.2457799891235|-|27324|446.6273699877497|1.6345607158093607|0|10.123868320850255||||44464
|  Whiting|0|1123.137|-|0|89.66240000610352|-|0|13.4231|-||0|1226.2225000061035|-|13818|258.83950000610355|1.8732052395867966|0|8.874095382878156||||9473
|  Saithe|0|740.7559999999999|-|0|119.91609999999999|-|0|186.6256|-||0|1047.2976999999998|-|8452|128.35479999999995|1.5186322763842872|0|12.391122811168952||||8710
|  Plaice|0|85.801|-|0|17.621529998731617|-|0|781.5337999999999|-||0|884.9563299987316|-|29816|123.52782999987596|0.4143004762539441|0|2.968058525619572||||27552
|  Sole|0|0|-|0|1.9763|-|0|38.4157|-||0|40.392|-|672|8.863500000000002|1.3189732142857145|0|6.010714285714286||||783
|  Hake|0|198.32999999999998|-|0|38.4517|-|0|14.177|-||0|250.9587|-|658|41.33600000000001|6.282066869300913|0|38.13962006079027||||5317
|  Nephrops|0|546.2980000000001|-|0|256.7749000076294|-|0|3.0917|-||0|806.1646000076295|-|21237|168.47170000000006|0.7932933088477658|0|3.79603804684103||||10801
|  Norway others|0|87.78099999999998|-|0|42.6347|-|0|0.27|-||0|130.6857|-|3750|31.610299999999967|0.8429413333333324|0|3.4849520000000003||||2934
|  Monkfish|0|875.2359999999999|-|0|50.79499001798629|-|0|3.4273000000000002|-||0|929.4582900179861|-|13203|173.47778000564563|1.3139269863337546|0|7.039750738604757||||9798
|  Megrim|0|76.74300000000001|-|0|6.060199999999999|-|0|1.2464|-||0|84.0496|-|2430|14.646900000000016|0.6027530864197538|0|3.4588312757201645||||2727
|  Lem Sole & Witches|0|119.544|-|0|5.683590001058578|-|0|9.9287|-||0|135.15629000105858|-|3904|31.71068000025747|0.8122612704983982|0|3.4619951332238363||||3554
|  Skates & Rays|0|45.24499999999999|-|0|28.00830000076294|-|0|6.1727|-||0|79.42600000076294|-|1070|13.229000000762952|1.2363551402582198|0|7.42299065427691||||721
|  Dabs & Flounders|0|2.4610000000000003|-|0|0|-|0|6.578|-||0|9.039000000000001|-|0|1.5400000000000018|-|0|-||||1558
|  Turbot & Brill|0|2.836|-|0|1.8910999984741212|-|0|27.449|-||0|32.17609999847412|-|1097|5.581399998474122|0.5087876024133201|0|2.9330993617569847||||522
|  Spurdog (zero TAC)|0|0|-|0|0|-|0|0|-||0|0|-|0|0|-|-|-||||0
|  Northern prawn|0|0|-|0|0.0174|-|0|0|-||0|0.0174|-|431|0|0|0|0.004037122969837587||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|0|0|-|0|0|-|0|0|-||0|0|-|45|0|0|0|0||||45
| Cod VIa,Vb (EC)|0|22.332000000000004|-|0|0.0209|-|0|0|-||0|22.352900000000005|-|0|4.9569000000000045|-|-|-||||0
| Haddock VIb, XII, XIV  |0|16.12|-|0|0|-|0|0|-||0|16.12|-|4136|0|0|0|0.3897485493230174||||2561
| Haddock VIa,Vb (EC)|0|166.857|-|0|3.9884|-|0|0|-||0|170.8454|-|3624|27.423000000000002|0.7567052980132452|0|4.714277041942605||||5077
|  Whiting|0|7.644000000000001|-|0|0.0472|-|0|0|-||0|7.691200000000001|-|122|0.9852000000000007|0.807540983606558|0|6.304262295081968||||122
|  Saithe|0|344.359|-|0|0.0653|-|0|0.3019|-||0|344.72619999999995|-|3308|63.218999999999994|1.9110943168077388|0|10.420985489721884||||2839
|  Plaice|0|2.451|-|0|0.1535|-|0|0|-||0|2.6045000000000003|-|388|1.0255000000000003|0.26430412371134027|0|0.6712628865979382||||388
|  Sole|0|0.006|-|0|0|-|0|0|-||0|0.006|-|11|0.001|0.009090909090909092|0|0.05454545454545455||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|0|262.168|-|0|3.5984|-|0|0|-||0|265.76640000000003|-|2825|66.68220000000002|2.3604318584070807|0|9.407660176991152||||2805
|  Nephrops|0|212.38|-|0|13.5702|-|0|0|-||0|225.9502|-|11842|58.57669999999999|0.4946520857963181|0|1.9080408714744133||||17636
|  Megrim|0|54.704|-|0|1.16|-|0|0|-||0|55.864|-|1704|15.272999999999996|0.8963028169014082|0|3.2784037558685446||||1772
|  Pollack|0|4.391|-|0|0.0877|-|0|0|-||0|4.4787|-|145|0.06700000000000017|0.046206896551724254|0|3.088758620689655||||145
|Greenland Halibut II,IV,VI|0|0|-|0|0|-|0|0|-||0|0|-|1017|0|0|0|0||||974
|  Spurdog (zero TAC)|-|0|-|-|3.6386|-|-|0|-||-|3.6386|-|0|0.2298|-|-|-||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2017 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2018
|43145||||||||||||This weeks report includes swap numbers 

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2017|2018||||Quota
||2017|2018|change|2017|2018|change|2017|2018|change||2017|2018|change|2018|Tonnes|%|%|%||||2016

|Norway
|Tusk|0|0.322|-|0|0|-|0|0|-||0|0.322|-|4|0|0|0|8.05||||4
|Monkfish|0|4.577000000000001|-|0|0.2818|-|0|0.372|-||0|5.2308|-|305|0.2760000000000007|0.09049180327868875|0|1.715016393442623||||180
|Ling |0|1.794|-|0|0.9082|-|0|0|-||0|2.7022|-|106|0.5100000000000002|0.48113207547169834|0|2.549245283018868||||144
|Nephrops|0|0|-|0|0|-|0|0|-||0|0|-|42|0|0|0|0||||53
