|Whitefish Statistics: total landings (tonnes live weight) in 2017||||||||||||Final landings spreadsheet for 2017
|43137||||||||||||This weeks report includes swap numbers 2009-2047

||Landings into||||||||||Total landings||||Uptake of quota||||||| 
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:|||||U.K
||||%|||%|||%||||%|Quota|||2016|2017||||Quota
||2016|2017|change|2016|2017|change|2016|2017|change||2016|2017|change|2017|Tonnes|%|%|%||||2016
|North sea
|  Cod|15622.199999999999|16030.076999999997|2.610880669816022|312.49390000000005|1755.687100000763|461.8308389382201|525.3109999999999|628.8959000000001|19.718776115482104||16460.0049|18410.57300000076|11.850349449171555|20274.178000000007|38.27160000229196|0.1887701686465017|98.24522442401815|90.80798738178561||||16754
|  Haddock|26015.460000000003|22853.968|-12.152358635980304|161.71500000000003|2362.2767999999996|1360.7654206474347|154.48110000000003|259.77790000000005|68.16160682439471||26331.656100000004|25476.0227|-3.249447724634389|27924.370000000003|47.0290199962692|0.16841568850530628|59.2201693504858|91.2322201002207||||44464
|  Whiting|8597.539999999999|7935.861000000003|-7.696143315413438|716.08|1128.5828000000001|57.605686515473145|72.4853|152.063|109.78460460258839||9386.1053|9216.506800000003|-1.8069102634081509|10578.22638386005|14.501399999237037|0.13708725331651864|99.08271191808296|87.12714651354295||||9473
|  Saithe|6561.099999999998|6369.537|-2.919678102757121|0.49770000000000003|754.6148999999999|151520.43399638333|1919.4793999999995|1550.2149|-19.237742275327342||8481.077099999997|8674.3668|2.2790701902710335|11004.725000000002|11.962150006102092|0.10870012659200562|97.37172330654417|78.82402149985572||||8710
|  Plaice|2097.4600000000005|1869.3329999999996|-10.876345675245336|244.0825|214.2976299991608|-12.202787992108906|16424.8349|12878.2109|-21.593057230669643||18766.3774|14961.841529999161|-20.273150160567695|32221.155153545962|-8.062109998129017|-0.02502116997267795|68.11257767131244|46.43483903261798||||27552
|  Sole|0.09|0.056|-37.77777777777778|202.62430000000006|182.32370000076295|-10.018837819174257|502.9461999999999|328.2204|-34.740455340948984||705.6605|510.60010000076295|-27.642244393619453|939.8299999999999|-3.092300000000023|-0.3290275900960837|90.12266922094507|54.32898502928859||||783
|  Hake|4845.630000000001|4363.509000000001|-9.949604076250147|3.8114|1596.2653|41781.33756624862|153.5096|169.4578|10.389057101314826||5002.951000000001|6129.232100000001|22.5123352197533|6797.189|-15.833232758620397|-0.2329379506531361|94.0934925709987|90.17304212079435||||5317
|  Nephrops|6507.08|9536.306|46.5527702133676|2828.4904999999994|2387.7039|-15.583810516598856|73.2576|25.9372|-64.59452671122176||9408.8281|11949.947100000001|27.007816201892354|16153.129999999997|51.16160000000127|0.3167287083060762|87.11071289695398|73.97914274199492||||10801
|  Norway others|2060.93|1988.9189999999996|-3.494102177172451|0|380.4784|-|405.2293|237.13400000000001|-41.481526631958744||2466.1593|2606.5314|5.6919315796023415|3101.5|15.152599999999438|0.48855714976622405|84.05450920245399|84.04099306787039||||2934
|  Monkfish|9178.22|9573.526000000002|4.307000703840204|77.6044|308.55256000022894|297.59673420608743|111.41590000000001|220.7235|98.10772071131677||9367.2403|10102.802060000231|7.852491624456688|11172.957000000006|14.565740001678932|0.13036602576810172|95.60359563176158|90.42191838740833||||9798
|  Megrim|1260.91|1146.0240000000001|-9.11135608409799|0.10080000000000001|31.9075|31554.26587301587|12.861199999999997|12.9007|0.30712530712533725||1273.872|1190.8322|-6.518692615898615|2743.6850000000013|1.5395999999998367|0.05611431341425258|46.71331133113312|43.402657375026635||||2727
|  Lem Sole & Witches|1274.2799999999997|1416.249|11.14111498257842|64.561|109.55635000038146|69.69432010096102|418.98449999999997|335.2012|-19.99675405653431||1757.8254999999997|1861.0065500003814|5.869811878390756|3780.0000000000005|3.493749996566976|0.09242724858642792|49.460481148002245|49.2329775132376||||3554
|  Skates & Rays|345.55|360.605|4.356822456952686|248.20039999999997|288.9228000007629|16.4070646142242|68.35590000000002|53.15260000000001|-22.24138662500239||662.1063|702.6804000007629|6.128034123940957|770.1999999999998|-1.8128000000000384|-0.2353674370293481|91.83166435506241|91.23349779288017||||721
|  Dabs & Flounders|7.64|12.138|58.87434554973823|24.629699999999993|0|-100|352.4624|108.661|-69.17089595939879||384.7321|120.799|-68.60178810138274|4.440892098500626e-16|0|0|24.693973042362003|27201516569336430000||||1558
|  Turbot & Brill|41.699999999999996|46.029|10.381294964028797|78.42049999999998|47.972649980926505|-38.826391082782536|430.1598|400.7468|-6.837691481165839||550.2803|494.7484499809265|-10.091556979065667|751.9199999999998|2.2512000312805185|0.29939355666567175|105.41768199233717|65.79801707374808||||522
|  Spurdog (zero TAC)|0|0.897|-|0|0|-|17.78|0|-100||17.78|0.897|-94.95500562429697|0|0|-|-|-||||0
|  Northern prawn|0|0.24|-|0|6.5989|-|0|0|-||0|6.838900000000001|-|514.461|0|0|0|1.329333030103351||||565
||||||||||||||||||-
|West of Scotland
| Cod VIb|37.10000000000001|35.821|-3.447439353099758|0|0|-|0|0|-||37.10000000000001|35.821|-3.447439353099758|49.5|0|0|82.44444444444447|72.36565656565656||||45
| Cod VIa,Vb (EC)|178.04999999999998|197.684|11.027239539455218|0.9399|1.2085000000000001|28.577508245558057|2.5037|0.4476|-82.12245876103367||181.4936|199.34009999999998|9.833129102073016|0|0.08199999999999363|-|-|-||||0
| Haddock VIb, XII, XIV  |2159.9800000000005|3888.527|80.02606505615789|0|0.0005|-|0|0|-||2159.9800000000005|3888.5275|80.02608820452039|3995.0580000000004|0.0005000000001018634|0.000012515462856906292|84.34127294025772|97.33344296878794||||2561
| Haddock VIa,Vb (EC)|2605.57|2396.166|-8.036782738517868|20.621199999999998|67.1082000015259|225.43304949045594|5.950799999999999|0.488|-91.79942192646368||2632.1420000000003|2463.762200001526|-6.3970636841961594|3348.691999999999|0.8528999999998632|0.025469646058815305|51.84443569036833|73.57386705022518||||5077
|  Whiting|119.49|123.226|3.1266214746003884|0.3475|1.0011|188.08633093525188|0.7100000000000001|0.359|-49.43661971830986||120.54749999999999|124.58609999999999|3.3502146456790913|124.595|0.02379999999999427|0.019101890123997167|98.80942622950818|99.99285685621413||||122
|  Saithe|2622.840000000001|2625.943|0.11830687346537168|0.6509|0.17159999999999997|-73.63650330311876|129.7041|22.965999999999998|-82.29354353486129||2753.195000000001|2649.0806000000002|-3.7815846679948493|3258.9750000000004|0.6598000000003594|0.020245629377345926|96.97763296935544|81.28569872429215||||2839
|  Plaice|69.82000000000002|110.963|58.927241478086444|0.1939|0.35050000000000003|80.76328004125841|0.17120000000000002|0.112|-34.57943925233645||70.18510000000002|111.42549999999999|58.75948028855122|426.7717555404397|-0.023200003051755402|-0.005436161777476634|18.088943298969077|26.1089208818182||||388
|  Sole|2.0599999999999996|1.665|-19.174757281553383|0.33919999999999995|0.1608|-52.594339622641506|0.08|0.141|76.24999999999999||2.4791999999999996|1.9668|-20.667957405614697|12.127862342789399|0.008299999999999974|0.06843745225171298|22.538181818181815|16.21720254080356||||11
|  Hake (inc VII)||2.48||0|0|-|0|0|-|||2.48|||0|-|-|-
|  Monkfish|2660.31|2749.951|3.3695697118005077|96.1304|486.4695|406.0516756405882|216.4878|43.3822|-79.96090310862782||2972.9282|3279.8027|10.322297726531046|3056.4999999999995|-13.001099999999497|-0.4253590708326353|105.98674509803921|107.30583019793885||||2805
|  Nephrops|13349.939999999997|10463.319|-21.622726394275915|1291.2196999999999|1098.2964|-14.941167641726652|4.5504|18.7653|312.38792194092827||14645.710099999997|11580.380699999998|-20.92987898210548|17474.622999999996|14.545599999999467|0.08323841950695858|83.0443983896575|66.26970264251196||||17636
|  Megrim|782.6799999999997|728.0229999999999|-6.9833137425256595|1.4727999999999999|6.6188|349.4024986420425|14.2568|20.2762|42.22125582178328||798.4095999999997|754.9179999999999|-5.447279191031752|1959.2459999999999|-55.12850000000003|-2.8137610080612663|45.05697516930021|38.531047147729275||||1772
|  Pollack|25.13|12.888000000000002|-48.71468364504575|1.902|1.0372999999999999|-45.462670872765514|2.3358|0.008|-99.65750492336673||29.3678|13.933300000000001|-52.555860500275806|145.00000000000003|0.021100000000000563|0.01455172413793142|20.253655172413794|9.609172413793102||||145
|Greenland Halibut II,IV,VI|497.98999999999995|147.866|-70.30743589228699|0|0|-|0.0022|0|-100||497.99219999999997|147.866|-70.30756706631148|964.387|0|0|51.12856262833675|15.332641356633802||||974
|  Spurdog (zero TAC)|-|0|-|-|35.4346|-|-|0.004|-||-|35.4386|-|100|-0.0362000000000009|-0.0362000000000009|-|35.4386||||0

|Faroes
|Cod/Haddock||468.55|||0|||0||||468.55||480|-10.4|-2.166666666666667||97.61458333333334||||464
|Saithe||357.68|||0|||0||||357.68||1216|0|0||29.414473684210527||||767
|Redfish||6.03|||0|||0||||6.03||232|0|0||2.5991379310344827||||157
|Ling, Blue Ling||121.35|||0|||0||||121.35||245|0|0||49.53061224489796||||244
|Flatfish||21.17|||0|||0||||21.17||0|0|-||-||||680
|Others||97.85|||0|||0||||97.85||345|0|0||28.362318840579707||||180
|Blue Whiting|0|1831.04|-||0|-||1210.83|-|0||3041.87|-||0|-||54.36111111111111||||345

|2016 landings are for the nearest comparable week last year (assuming an average delay of 2 weeks in notification of landings) therefore
|comparisons will be approximate, and should be treated accordingly.

|Norway Statistics: total landings (tonnes live weight) in 2017
|43137||||||||||||This weeks report includes swap numbers 2009-2047

||Landings into||||||||||Total landings||||Uptake of quota
|Stock|Scotland|||England, Wales & N.I.|||Abroad||||by UK vessels|||U.K|in past week||so far in:
||||%|||%|||%||||%|Quota|||2016|2017||||Quota
||2016|2017|change|2016|2017|change|2016|2017|change||2016|2017|change|2017|Tonnes|%|%|%||||2016

|Norway
|Tusk|1.6500000000000004|2.231|35.212121212121176|0|0.1107|-|0.21000000000000002|0.23099999999999998|9.99999999999998||1.8600000000000003|2.5726999999999998|38.31720430107523|3.9999999999999996|-0.0017999999999998018|-0.04499999999999505|46.50000000000001|64.31750000000001||||4
|Monkfish|157.15|84.119|-46.472160356347445|15.742900000000002|7.4349|-|0.21|17.7423|8348.714285714286||173.1029|109.2962|-36.86056097269312|125|-0.0011000000000080945|-0.0008800000000064756|96.16827777777777|87.43696||||180
|Ling |110.37999999999998|93.14899999999999|-15.610617865555351|0|14.058|-|18.805799999999994|13.4088|-28.698592987269866||129.18579999999997|120.6158|-6.633856043001615|136.20000000000002|-0.40380000000000393|-0.29647577092511296|89.7123611111111|88.55785609397942||||144
|Nephrops|0|0|-|0|0|-|0.0070999999999999995|0.0024|-66.19718309859154||0.0070999999999999995|0.0024|-66.19718309859154|53|0|0|0.01339622641509434|0.004528301886792452||||53
